EPS,SEDE,TIPOINTERRUPCION,TIPOSERVICIO,MOTIVOINTERRUPCION,FECHAINICIO,HORAINICIO,FECHAFIN,HORAFIN,DEPARTAMENTO,PROVINCIA,DISTRITO,NUMCONEXDOM,UNIDADESUSO,NUMCAMIONESPUNTOS,Cluster
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-04-17 12:00:00,12:00,2024-04-17 18:00:00,18:00,LIMA,LIMA,SURQUILLO,16013.0,27305.0,0.0,1
EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 12:00:00,12:00,2024-04-17 12:00:00,12:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,180.0,180.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-17 10:20:00,10:20,2024-04-17 20:00:00,20:00,LIMA,LIMA,VILLA EL SALVADOR,73820.0,105779.0,0.0,1
EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-17 09:00:00,09:00,2024-04-17 11:30:00,11:30,MOQUEGUA,ILO,ILO,117.0,0.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 11:10:00,11:10,2024-04-17 23:00:00,23:00,LIMA,LIMA,LA VICTORIA,42246.0,62177.0,0.0,1
EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-10 10:30:00,10:30,2024-04-17 11:30:00,11:30,MOQUEGUA,ILO,ILO,117.0,0.0,0.0,1
EPS NOR PUNO,NOR PUNO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 10:00:00,10:00,2024-04-17 16:00:00,16:00,PUNO,AZANGARO,AZANGARO,7000.0,1500.0,0.0,1
EPS NOR PUNO,NOR PUNO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 09:00:00,09:00,2024-04-17 16:00:00,16:00,PUNO,AZANGARO,AZANGARO,7000.0,1500.0,0.0,1
EPS NOR PUNO,NOR PUNO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 09:00:00,09:00,2024-04-17 16:00:00,16:00,PUNO,AZANGARO,AZANGARO,7000.0,1500.0,0.0,1
EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-17 08:00:00,08:00,2024-04-17 10:00:00,10:00,MOQUEGUA,ILO,ILO,358.0,0.0,0.0,1
EPS EMSAPUNO,EMSAPUNO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 04:00:00,04:00,2024-04-17 13:00:00,13:00,PUNO,PUNO,PUNO,0.0,0.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-17 07:00:00,07:00,2024-04-17 12:50:00,12:50,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,14189.0,20546.0,0.0,1
SEDAPAL ,CALLAO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-17 08:00:00,08:00,2024-04-17 14:30:00,14:30,LIMA,LIMA,ANCON,6059.0,7008.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 06:10:00,06:10,2024-04-17 12:00:00,12:00,CUSCO,CUSCO,SAN JERONIMO,100.0,100.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,CAMBIO DE GRIFO CONTRA INCENDIO,2024-04-16 22:40:00,22:40,2024-04-17 08:00:00,08:00,LIMA,LIMA,LIMA,63128.0,88447.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-16 21:50:00,21:50,2024-04-17 03:00:00,03:00,LIMA,LIMA,VILLA EL SALVADOR,29874.0,42611.0,0.0,1
EPSEL,EPSEL,IMPREVISTA,ALCANTARILLADO,OTROS,2024-04-16 17:00:00,17:00,2024-04-17 09:00:00,09:00,LAMBAYEQUE,CHICLAYO,SAÑA,1300.0,1300.0,0.0,1
EMAPA SAN MARTIN,SAN MARTIN,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-16 12:00:00,12:00,2024-04-16 19:00:00,19:00,SAN MARTIN,PICOTA,PICOTA,2000.0,0.0,0.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-24 12:00:00,12:00,2024-04-24 23:00:00,23:00,LIMA,LIMA,BARRANCO,378.0,945.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-16 15:30:00,15:30,2024-04-16 23:00:00,23:00,LIMA,LIMA,RIMAC,3083.0,4581.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 15:10:00,15:10,2024-04-16 23:30:00,23:30,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,16811.0,24254.0,0.0,1
SEDAPAL ,BRENA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 14:20:00,14:20,2024-04-16 23:00:00,23:00,LIMA,LIMA,LIMA,1066.0,1110.0,0.0,1
SEDAPAL ,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-23 12:00:00,12:00,2024-04-23 20:00:00,20:00,LIMA,LIMA,CARABAYLLO,396.0,399.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 14:05:00,14:05,2024-04-16 21:00:00,21:00,LIMA,LIMA,RIMAC,3020.0,4213.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 08:00:00,08:00,2024-04-16 23:00:00,23:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,2140.0,3224.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 10:00:00,10:00,2024-04-16 20:00:00,20:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3237.0,4932.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 13:00:00,13:00,2024-04-16 16:00:00,16:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-16 11:00:00,11:00,2024-04-16 15:00:00,15:00,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,2280.0,2280.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 12:15:00,12:15,2024-04-16 20:00:00,20:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,7063.0,10581.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 12:10:00,12:10,2024-04-16 20:00:00,20:00,LIMA,LIMA,CHORRILLOS,3360.0,4178.0,0.0,1
SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-30 15:00:00,15:00,2024-04-30 17:00:00,17:00,CUSCO,CUSCO,SAN JERONIMO,120.0,120.0,0.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-05-02 12:00:00,12:00,2024-05-02 23:00:00,23:00,LIMA,LIMA,SANTIAGO DE SURCO,1788.0,4290.0,0.0,1
SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-29 16:00:00,16:00,2024-04-29 18:00:00,18:00,CUSCO,CUSCO,SAN SEBASTIAN,150.0,150.0,0.0,1
EPSEL,EPSEL,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 09:00:00,09:00,2024-04-17 17:00:00,17:00,LAMBAYEQUE,CHICLAYO,PIMENTEL,8000.0,8000.0,1.0,1
SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-26 16:00:00,16:00,2024-04-26 18:00:00,18:00,CUSCO,CUSCO,SAN SEBASTIAN,100.0,100.0,0.0,1
EPS GRAU,PIURA,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-16 07:00:00,07:00,2024-04-16 14:00:00,14:00,PIURA,PIURA,PIURA,1420.0,0.0,0.0,1
SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-26 13:00:00,13:00,2024-04-26 14:00:00,14:00,CUSCO,CUSCO,SANTIAGO,50.0,50.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-16 11:00:00,11:00,2024-04-16 13:00:00,13:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 10:30:00,10:30,2024-04-16 14:00:00,14:00,CUSCO,CUSCO,SAN SEBASTIAN,100.0,100.0,0.0,1
EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 08:00:00,08:00,2024-04-16 10:00:00,10:00,MOQUEGUA,ILO,ILO,25.0,0.0,0.0,1
EPS ILO,EPS ILO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-16 09:35:00,09:35,2024-04-16 12:00:00,12:00,MOQUEGUA,ILO,ILO,67.0,0.0,0.0,1
EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-16 09:30:00,09:30,2024-04-16 11:00:00,11:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,1214.0,1222.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,ROTURA DE LÍNEA DE IMPULSIÓN,2024-04-16 07:30:00,07:30,2024-04-16 14:05:00,14:05,ICA,CHINCHA,CHINCHA ALTA,10000.0,0.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,ROTURA DE LÍNEA DE IMPULSIÓN,2024-04-16 07:30:00,07:30,2024-04-16 14:05:00,14:05,ICA,CHINCHA,ALTO LARAN,1307.0,0.0,0.0,1
EPS SEMAPACH,SEMAPACH,IMPREVISTA,AGUA POTABLE,ROTURA DE LÍNEA DE IMPULSIÓN,2024-04-16 07:30:00,07:30,2024-04-16 14:05:00,14:05,ICA,CHINCHA,PUEBLO NUEVO,10000.0,0.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 09:00:00,09:00,2024-04-16 19:00:00,19:00,LIMA,LIMA,VILLA EL SALVADOR,73781.0,105701.0,0.0,1
AGUA TUMBES,TUMBES,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-19 06:00:00,06:00,2024-04-20 06:00:00,06:00,TUMBES,TUMBES,TUMBES,16350.0,16350.0,3.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,TRABAJOS DE MEJORAMIENTO/REHABILITACIÓN,2024-04-23 10:00:00,10:00,2024-04-23 18:00:00,18:00,LIMA,LIMA,LA MOLINA,1200.0,1700.0,0.0,1
SEDAPAL ,CALLAO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-25 12:00:00,12:00,2024-04-25 19:00:00,19:00,CALLAO,CALLAO,CALLAO,2412.0,2745.0,0.0,1
EPS SELVA CENTRAL,SELVA CENTRAL,PROGRAMADA,AGUA POTABLE,LINEA DE ADUCCION,2024-04-22 09:30:00,09:30,2024-04-22 19:00:00,19:00,JUNIN,CHANCHAMAYO,SAN RAMON,1800.0,1800.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-16 07:50:00,07:50,2024-04-16 17:00:00,17:00,LIMA,LIMA,PUCUSANA,138.0,163.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 06:50:00,06:50,2024-04-16 14:30:00,14:30,LIMA,LIMA,ATE,28.0,28.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-04-16 06:05:00,06:05,2024-04-16 14:00:00,14:00,LIMA,LIMA,ATE,4780.0,6913.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-16 05:45:00,05:45,2024-04-16 15:45:00,15:45,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3797.0,5129.0,0.0,1
EPS GRAU,SULLANA,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-04-11 17:00:00,17:00,2024-04-11 21:50:00,21:50,PIURA,SULLANA,MIGUEL CHECA,7722.0,7722.0,0.0,1
EPS GRAU,SULLANA,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-04-11 17:00:00,17:00,2024-04-11 21:50:00,21:50,PIURA,SULLANA,SULLANA,3755.0,3755.0,0.0,1
SEDAPAL ,BRENA,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-26 10:00:00,10:00,2024-04-26 23:00:00,23:00,LIMA,LIMA,LIMA,1179.0,1215.0,0.0,1
AGUA TUMBES,TUMBES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-15 21:00:00,21:00,2024-04-17 22:00:00,22:00,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,1510.0,1510.0,1.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-15 19:00:00,19:00,2024-04-15 23:55:00,23:55,LIMA,LIMA,SANTIAGO DE SURCO,2330.0,3807.0,0.0,1
AGUA TUMBES,TUMBES,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-15 20:00:00,20:00,2024-04-17 22:00:00,22:00,TUMBES,TUMBES,TUMBES,906.0,906.0,1.0,1
SEDAPAL ,VES,PROGRAMADA,AGUA POTABLE,MANTENIMIENTO DE REDES SECUNDARIAS,2024-04-23 08:00:00,08:00,2024-04-23 15:00:00,15:00,LIMA,LIMA,VILLA EL SALVADOR,343.0,485.0,0.0,1
SEDAPAL ,SJL,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-15 15:30:00,15:30,2024-04-15 18:55:00,18:55,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1301.0,1301.0,0.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-15 13:00:00,13:00,2024-04-15 17:45:00,17:45,LA LIBERTAD,TRUJILLO,TRUJILLO,6904.0,7827.0,0.0,1
SEDAPAL ,CALLAO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-23 12:00:00,12:00,2024-04-23 19:00:00,19:00,CALLAO,CALLAO,VENTANILLA,1359.0,1501.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-15 16:00:00,16:00,2024-04-15 17:20:00,17:20,CUSCO,CUSCO,SANTIAGO,100.0,100.0,0.0,1
SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-15 11:30:00,11:30,2024-04-15 14:05:00,14:05,AYACUCHO,HUAMANGA,AYACUCHO,500.0,0.0,0.0,1
SEDALIB,TRUJILLO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-05-01 03:50:00,03:50,2024-05-02 04:00:00,04:00,LA LIBERTAD,TRUJILLO,HUANCHACO,7280.0,8721.0,1.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-15 15:55:00,15:55,2024-04-15 20:00:00,20:00,LIMA,LIMA,COMAS,2585.0,3838.0,0.0,1
